data,categoria,produto,quantidade,preco_unitario,custo_unitario,mesa,forma_pagamento
2024-01-02,Massa,Fettuccine Alfredo,2,42.00,14.00,5,Cartão Crédito
2024-01-02,Bebida,Vinho Tinto (taça),3,18.00,5.00,5,Cartão Crédito
2024-01-02,Massa,Lasanha Bolonhesa,1,48.00,16.00,3,Dinheiro
2024-01-03,Pizza,Pizza Margherita,2,55.00,18.00,7,Pix
2024-01-03,Sobremesa,Tiramisù,3,22.00,7.00,7,Pix
2024-01-03,Bebida,Água Mineral,4,8.00,1.50,2,Cartão Débito
2024-01-04,Massa,Penne ao Pomodoro,2,36.00,12.00,1,Dinheiro
2024-01-04,Carne,Ossobuco,1,78.00,28.00,4,Cartão Crédito
2024-01-05,Pizza,Pizza Quatro Queijos,1,62.00,20.00,6,Cartão Crédito
2024-01-05,Bebida,Suco de Laranja,2,12.00,3.00,6,Cartão Crédito
2024-01-06,Massa,Espaguete Carbonara,3,44.00,15.00,8,Pix
2024-01-06,Sobremesa,Panna Cotta,2,20.00,6.00,8,Pix
2024-01-07,Carne,Filé ao Molho Funghi,2,85.00,30.00,9,Cartão Crédito
2024-01-07,Bebida,Cerveja Artesanal,4,15.00,5.00,9,Dinheiro
2024-01-08,Pizza,Pizza Calabresa,2,52.00,17.00,2,Cartão Débito
2024-01-10,Massa,Fettuccine Alfredo,1,42.00,14.00,3,Pix
2024-01-10,Bebida,Vinho Branco (taça),2,18.00,5.00,3,Pix
2024-01-11,Carne,Costela ao Vinho,1,92.00,33.00,5,Cartão Crédito
2024-01-12,Pizza,Pizza Margherita,3,55.00,18.00,7,Cartão Crédito
2024-01-13,Sobremesa,Cannoli,4,18.00,5.50,1,Dinheiro
2024-01-14,Massa,Lasanha Bolonhesa,2,48.00,16.00,4,Cartão Débito
2024-01-15,Bebida,Limonada,3,10.00,2.50,6,Pix
2024-01-17,Pizza,Pizza Quatro Queijos,2,62.00,20.00,8,Cartão Crédito
2024-01-18,Carne,Ossobuco,2,78.00,28.00,2,Cartão Crédito
2024-01-19,Massa,Penne ao Pomodoro,3,36.00,12.00,9,Dinheiro
2024-01-20,Sobremesa,Tiramisù,2,22.00,7.00,3,Pix
2024-01-21,Bebida,Cerveja Artesanal,5,15.00,5.00,7,Dinheiro
2024-01-22,Pizza,Pizza Calabresa,1,52.00,17.00,5,Cartão Débito
2024-01-24,Massa,Espaguete Carbonara,2,44.00,15.00,1,Cartão Crédito
2024-01-25,Carne,Filé ao Molho Funghi,1,85.00,30.00,4,Cartão Crédito
2024-01-26,Bebida,Vinho Tinto (taça),4,18.00,5.00,6,Pix
2024-01-28,Sobremesa,Panna Cotta,3,20.00,6.00,8,Cartão Crédito
2024-01-29,Pizza,Pizza Margherita,2,55.00,18.00,9,Pix
2024-01-30,Massa,Fettuccine Alfredo,2,42.00,14.00,2,Dinheiro
2024-02-01,Carne,Costela ao Vinho,2,92.00,33.00,5,Cartão Crédito
2024-02-02,Pizza,Pizza Quatro Queijos,3,62.00,20.00,3,Cartão Crédito
2024-02-03,Bebida,Suco de Laranja,4,12.00,3.00,7,Pix
